node	degree	length	cluster
s83103	4	283	1
s1704	4	41822	3
s105019	2	324	3
s81634	2	332	1
s3758	4	122166	1
s82071	2	108	1
s105187	2	312	1
s138225	2	138	1
s5038	4	118645	3
s2744	4	59598	3
s1341	4	34	3
s731	3	79	1
s4608	2	318	3
s81724	2	378	3
s138334	2	50	1
s5244	4	15313	3
s82321	2	166	3
s3534	4	7726	1
s140512	2	69	3
s121080	2	160	3
s114681	2	61	1
s83131	2	1573	3
s134661	2	146	3
s105654	4	275	1
s444	4	80	3
s82803	4	110	1
s1864	4	133	1
s140244	2	442	1
s121122	2	9	3
s5070	2	134	1
s82248	2	4	1
s81602	3	936	1
s4836	4	67554	3
s105377	5	524	3
s81753	4	50	1
s5111	2	97	3
s81677	4	148	3
s120989	2	18	3
s105658	2	1197	3
s121055	4	104	1
s3895	4	231	1
s2333	4	249583	1
s132042	2	3104	1
s878	4	33567	3
s105091	3	72	1
s105260	2	211	1
s137951	2	6688	3
s140405	2	149	3
s120790	2	1742	3
s114677	2	104	1
s3916	4	54768	3
s105104	2	124	3
s4525	3	58	3
s4570	2	318	1
s114589	2	389	1
s104937	2	56	3
s4458	4	182	1
s105247	3	2262	3
s2466	4	22424	1
s82971	5	113	3
s81703	2	2063	3
s82554	4	168	3
s3754	4	588516	1
s120932	2	10	1
s1486	3	34	1
s3012	2	269	3
s81367	2	58	1
s131880	2	60	1
s2261	2	74	1
s5196	4	16243	3
s82786	2	72	1
s5408	2	277	1
s105667	3	3695	1
s104863	2	6	1
s83156	3	549	3
s611	3	28	1
s2177	3	98	3
s82045	3	162	3
s1303	4	29380	3
s114924	2	95	1
s81521	3	328	1
s587	4	14	3
s3171	2	1	3
s203	2	183	1
s4833	4	44106	3
s82477	2	93	3
s270	4	3529	3
s105330	3	324	3
s114821	2	493	1
s2629	4	7004	3
s105776	2	64	3
s4343	2	163	1
s1692	4	22525	3
s82455	2	395	1
s5352	4	17751	1
s105243	3	7725	3
s822	2	7	3
s105461	2	208	1
s4751	2	1103	1
s120978	2	264	3
s1705	4	8616	3
s82567	3	124	1
s81817	2	189	1
s3143	4	31854	1
s81837	2	2522	1
s105086	2	55	1
s4859	3	92	1
s1200	3	27	1
s81949	2	100	1
s129174	2	411	1
s81372	3	1039	1
s1805	4	65814	3
s1900	4	66139	3
s2274	4	5128	1
s4131	2	179	3
s81678	2	84	1
s105540	4	1203	3
s83299	2	11	1
s143390	2	55	1
s2962	4	83	1
s120748	2	1	1
s4421	2	6106	3
s2025	4	29709	3
s138261	2	2573	1
s3003	4	327843	1
s2997	4	313856	1
s5031	4	4170	3
s105510	4	36	1
s3239	4	309	1
s82821	3	162	3
s4778	4	64120	1
s5324	4	5931	1
s125540	2	29	3
s1591	2	129	1
s105454	2	123	1
s4200	2	4	1
s83303	4	157	1
s105261	2	90	1
s471	4	763	1
s738	2	66	1
s3491	2	1532	1
s125376	2	66	1
s5223	2	60	3
s1437	2	2266	1
s121082	2	115	1
s1366	5	129	1
s1255	4	137333	1
s1624	2	51	3
s4553	4	9681	1
s125501	2	56	1
s5145	4	586	1
s143607	2	80	3
s81522	2	87	1
s4510	4	38804	1
s105804	4	1171	1
s3413	4	83008	3
s214	4	28	3
s5230	4	10017	1
s105775	2	295	3
s134759	2	107423	1
s3719	4	51321	3
s137965	2	1	1
s105651	2	1155	1
