node	degree	length	cluster
s3422	2	94	3
s3208	4	674	3
s4574	4	2976	3
s4071	2	56	3
s4749	5	22038	1
s120772	2	58	3
s718	4	15871	1
s134747	2	352	3
s125398	2	108	3
s82002	3	89	1
s5266	5	6517	1
s1876	4	130512	1
s114811	2	367	1
s340	2	616	3
s140243	2	3208	3
s82765	2	141	3
s1665	4	3433	1
s5201	2	52	3
s105630	4	202	1
s105475	3	474	3
s4119	2	3758	1
s760	3	108	1
s2416	4	117121	3
s83293	2	8	1
s2472	4	443229	3
s5261	4	2919	3
s83041	3	33	3
s5355	4	22766	1
s129005	2	162	3
s2952	2	86	1
s1249	4	855	1
s5155	3	3	1
s81926	2	96	1
s3994	2	6	1
s81538	2	220	3
s105669	2	11	1
s4489	4	169836	1
s745	4	47	1
s5397	2	43859	1
s25	4	7419	1
s1841	4	6	3
s81966	4	33	1
s4366	4	72332	3
s138311	2	63	3
s4268	4	22951	1
s131887	3	188	1
s129028	4	22	1
s511	4	28	3
s81579	3	1	1
s82191	3	45	1
s2367	4	27437	3
s105506	4	2309	1
s129018	3	104	1
s82268	2	2	1
s105390	3	45	1
s2699	4	151221	3
s789	4	47984	1
s3222	8	653	0
s3228	2	69	1
s4604	2	196	1
s81513	2	384	3
s143367	2	120	3
s120876	2	102	1
s104857	2	46	1
s4587	3	63	3
s3391	2	100	1
s125482	2	1	1
s114704	2	95	1
s120954	2	897	3
s3303	4	1420	1
s2871	2	56	3
s1717	4	82069	1
s82545	4	68	3
s836	4	80727	3
s4735	4	211024	1
s115088	2	31	1
s82972	4	474	3
s510	4	13	3
s104828	2	58	1
s105045	2	84	3
s2510	4	319	3
s125528	2	174	1
s1346	2	5	1
s187	4	82	1
s2582	2	55	3
s82542	2	267	1
s508	3	123	3
s114894	4	216	3
s83112	4	311	3
s4685	4	3551	1
s1868	4	255398	1
s105527	2	482	1
s115011	2	50	1
s104903	2	316	1
s1365	2	13	1
s2935	4	67497	1
s134728	2	346	1
s83151	4	290	3
s5076	4	46394	1
s1389	2	1814	1
s82825	2	79	1
s132065	2	104	3
s82639	4	287	1
s120952	2	1487	1
s4539	4	5644	3
s1769	4	39144	3
s82600	2	55	1
s114918	2	3047	3
s82490	2	389	3
s619	4	298	1
s3670	4	84	3
s81958	3	657	1
s132008	2	122	3
s4885	4	22729	1
s2778	2	128	3
s5396	4	51073	1
s129085	2	344	3
s114802	4	1763	1
s82016	2	94	1
s3677	4	91083	3
s3862	4	49967	1
s131982	2	75	1
s114628	2	51	3
s5309	4	66	3
s2957	2	1	1
s453	5	661	1
s129132	2	27	1
s81365	2	78	3
s114874	2	80	1
s82347	2	349	1
s140245	2	134	1
s125410	2	2047	3
s3914	2	6056	3
s1778	4	56649	1
s104943	2	203	1
s82291	2	150	3
s418	3	1	1
s823	4	171	3
s83304	3	53	1
s121029	2	154	1
s114845	2	90	1
s1852	2	54	1
s131893	2	94	1
s138349	2	340	1
s134795	5	259	1
s3381	4	1203	3
s2458	4	20387	1
s1084	4	51935	1
s82400	4	202	3
s1450	4	130912	1
s125595	2	52	3
s2104	2	333	3
s114546	2	399	3
s128994	2	60	3
s137940	2	64	1
s104921	2	409	1
s140526	2	270	3
s81820	3	1	3
s2995	4	384	1
s125565	2	1	1
s1293	3	24	3
s82253	2	58	3
s120856	3	112	1
s3259	2	92	3
s5280	3	221	3
s1046	2	52	1
s2607	4	17889	1
s105383	2	8	3
s1218	3	8	1
s4311	4	246923	1
s105439	2	5	1
s114850	4	1530	1
s216	2	206	3
s2818	4	1423	3
s716	2	61	1
s140464	2	269	1
s114888	2	845	1
s4279	2	168	1
s4309	4	101677	1
s83341	3	1	3
s1054	4	35701	1
s2908	4	608474	1
s2647	4	16224	3
s105337	4	1735	1
s105244	4	119	3
s4202	2	105	1
s105018	2	315	3
s2911	2	8	1
s3843	4	83408	1
s951	4	6019	3
s2659	2	319	3
s1530	4	171	3
s81590	4	163	1
s4312	2	2	1
s114536	2	90	1
s121117	2	186	1
s2831	4	280866	3
s138220	2	339	1
s2801	2	52	3
s2528	4	23271	1
s3636	3	20	1
s105098	2	1792	1
s115097	2	99	3
s837	4	11955	3
s2770	4	68454	1
s3254	3	117	3
s140504	2	67	1
s129133	3	133	1
s129195	2	290	3
s81917	2	205	1
s105670	2	93	1
s129039	2	52	1
s140423	2	265	1
s725	4	4641	1
s83039	4	229	3
s2912	3	29	1
s105740	3	26	1
s125593	2	60	1
s3732	4	9016	1
s3401	4	726	1
s125446	2	122	3
s4533	5	388	3
s105694	3	130	3
s129228	2	59	3
s4781	4	2332	1
s105623	5	415	3
s3122	5	109	1
s140213	2	63	1
s1615	4	36898	1
s120770	3	343	1
s132024	4	250	1
s1461	4	4261	1
s2067	3	2	1
s2752	4	18027	3
s83315	4	534	1
s82564	4	136	1
s2929	4	115047	3
s137936	2	53	3
s81638	2	79	1
s105023	2	110	1
s105643	2	190	1
s3333	4	1092	1
s105295	2	134	1
s3327	4	30131	1
s134678	2	324	3
s82236	2	21	1
s138240	2	1	3
s81615	2	2814	3
s1936	4	3	3
s81676	2	7	1
s83072	3	344	3
s81680	2	1	1
s81559	2	2	1
s1076	4	752	1
s105655	4	192	1
s140446	2	97	1
s3970	4	167760	3
s129045	2	15	1
s82670	2	5	3
s82044	3	248	3
s121102	2	83	1
s4963	2	81	3
s3047	2	434	1
s105184	3	39	1
s105172	3	128	1
s104822	2	316	3
s106	4	11	3
s2148	4	30531	1
s4205	4	122907	1
s1397	4	16	3
s105205	3	300	3
s134751	2	1	3
s1272	4	12054	1
s105511	3	1058	1
s82775	2	67	3
s125583	2	441	1
s1524	4	28999	1
s125435	2	4	1
s999	4	2292	1
s82413	3	121	1
s5078	4	90172	3
s114767	2	134	1
s81711	2	70	3
s82285	2	327	3
s134715	3	1369	1
s1797	2	4	1
s140237	2	5	3
s143356	2	35	1
s63	4	1108	1
s3704	4	101046	3
s82575	4	127	3
s2163	2	1	1
s4765	4	30229	3
s114920	4	12704	1
s81416	2	2151	1
s82174	2	100	3
s2388	4	4455	1
s105535	2	645	1
s129056	2	2910	3
s81364	3	785	1
s140284	2	4602	3
s114778	2	279	3
s3343	4	142657	1
s2229	4	183	3
s3312	2	3197	1
s3859	4	18741	1
s105215	4	112	1
s120896	3	360	3
s120921	2	432	3
s2500	4	420	3
s105678	2	104	1
s105428	3	8	1
s132056	2	59	1
s105317	4	46	3
s4545	4	101505	1
s820	4	107	3
s82106	2	96	3
s131943	2	3	3
s134742	2	57	1
s138271	3	81	3
s3980	2	12	3
s105739	3	63	1
s2676	3	6	1
s105345	4	4	1
s581	4	1647	3
s138298	2	67	3
s104944	2	80	3
s81843	2	51	1
s125479	2	125	1
s81999	2	4	1
s4172	5	168	3
s140518	2	61	1
s140407	2	1	1
s1268	4	123564	1
s4453	2	5	3
s83114	5	229	1
s3999	4	36145	1
s105676	2	18	1
s3933	4	274921	1
s3535	3	58	1
s104978	2	88	3
s105743	3	109	1
s2996	2	7	1
s1822	4	5350	1
s2846	4	486093	3
s140257	2	128	1
s4776	2	5	1
s863	2	102	3
s114999	2	188	1
s143328	2	20	3
s83274	2	462	3
s134	2	107	3
s81392	2	437	1
s1438	3	4569	1
s4059	2	260	3
s5033	4	70316	3
s132017	3	283	1
s104866	3	50	3
s3694	4	253266	3
s1711	4	26973	1
s82652	4	3	1
s3263	4	279990	3
s4476	4	26790	1
s129163	2	298	3
s3678	4	165891	3
s1664	4	10	1
s120824	2	16	1
s82656	3	117	1
s3521	2	950	1
s132	2	92	3
s114538	2	66	1
s5219	4	4741	3
s114555	4	127	3
s140269	2	10	3
s517	4	213	1
s3411	2	10483	3
s125459	2	34	1
s1439	2	4809	1
s83073	3	56	3
s114551	2	1	1
s83297	3	144	1
s802	4	45	1
s4858	4	14235	1
s3356	4	135799	1
s3118	4	26	1
s2872	4	70319	3
s4082	2	277	1
s4936	4	245586	1
s5151	4	278	1
s134616	2	51	3
s82592	2	123	1
s3513	4	15770	3
s624	4	4	3
s140261	2	21	3
s132068	2	7	1
s82817	4	27	1
s125588	2	116	1
s249	2	160	3
s125411	2	142	1
s2438	2	717	1
s81976	2	62	3
s83011	3	737	1
s2642	4	363	3
s120849	2	152	1
s129194	2	1027	1
s83014	4	961	1
s105507	3	599	3
s105677	4	197	1
s81383	2	2126	1
s83008	4	1946	1
s1798	4	106953	3
s4414	4	55813	1
s4054	2	12	3
s90	3	184	3
s2420	4	93852	3
s83029	2	59	1
s4998	3	194	1
s114614	2	318	1
s375	3	156	1
s3838	4	41395	1
s105404	2	1364	1
s567	2	602	1
s82223	2	64	1
s81956	3	2876	1
s4902	2	324	1
s121062	2	89	1
s81755	2	13	1
s81441	2	80	0
s134655	3	45384	3
s2816	4	21035	3
s1522	4	43221	1
s4387	2	12	3
s81594	3	20	3
s3400	3	1130	3
s134675	2	87	3
s3242	2	335	1
s2353	4	69453	1
s3796	4	33	1
s1515	4	29847	1
s83104	2	116	1
s2519	2	1272	3
s129229	2	76	1
s4363	4	123	3
s129192	2	617	1
s134716	2	532	1
s4585	3	49	3
s1340	2	66	3
s513	4	181	3
s121044	2	1	1
s129141	2	1	1
s131948	2	76	3
s114747	2	98	1
s132084	2	61	1
s2285	2	12	1
s105326	4	675	3
s82458	2	8	1
s138290	2	269	1
s138321	2	55	3
s137928	2	123	3
s5293	3	365	3
s82343	2	90	1
s129165	2	97	1
s1676	4	89047	1
s83101	2	37	1
s5389	3	69	1
s3087	4	24	3
s82629	2	82	1
s5333	4	177585	1
s4783	4	67	1
s81743	2	319	1
s489	2	5	3
s83107	2	5	1
s114870	4	345	1
s380	4	255	1
s81718	2	94	3
s82518	4	580	1
s4035	3	76	3
s114814	2	144	3
s4732	4	472854	1
s1712	2	431	1
s1719	2	65	1
s742	3	208	1
s82333	4	47	1
s81509	2	82	3
s114758	2	1	1
s2521	2	1	3
s3910	4	148853	3
s1992	4	218	3
s735	2	55	1
s134617	2	50	1
s120796	2	129	1
s129206	2	61	3
s3614	5	348061	1
s131939	2	86	1
s5431	3	280	1
s829	2	88	1
s491	4	436	3
s105583	3	128	1
s105421	2	339	3
s1677	4	76518	1
s167	4	274	1
s105385	4	397	3
s105788	2	56	1
s83140	2	88	1
s81537	2	97	3
s104811	2	140	3
s131910	2	76	1
s4841	4	30399	1
s82521	4	56	1
s5086	4	284	1
s2620	4	58	3
s1572	4	62891	1
s125457	2	72	3
s4654	2	374	3
s3896	2	93	1
s2918	2	312	1
s114988	2	88	3
s1357	4	17001	1
s5367	2	1	3
s82923	2	113	3
s120923	2	98	3
s104816	2	96	3
s911	3	101	1
s82539	4	186	1
s1597	4	132998	1
s5353	4	61193	1
s131894	2	50	1
s105237	2	52	1
s140437	2	70	3
s140507	2	63	3
s125460	2	24	3
s121166	2	222	3
s83125	4	302	1
s105254	2	60	3
s1092	4	513	1
s125454	2	354	1
s129148	2	11	1
s1330	2	60	1
s3206	4	461	3
s1735	4	56739	1
s5175	2	128	3
s777	4	17880	1
s2248	4	231	3
s759	4	665	1
s81959	2	51	3
s114741	2	56	1
s459	2	8	3
s129000	2	68	1
s140445	2	2	1
s2839	4	12	3
s2685	4	40079	3
s2262	4	25425	1
s4511	4	227742	3
s140224	2	836	3
s125485	3	21	1
s5358	2	65	1
s125531	3	137	3
s3289	2	55	3
s2342	2	10	3
s104977	2	87	3
s81414	2	102	3
s81892	2	70	1
s114916	4	352	3
s81861	2	108	3
s3435	2	29	3
s3018	2	5	1
s4772	2	184	1
s4750	5	42896	1
s129040	2	60	3
s81671	3	17	1
s3434	4	136428	3
s143345	2	231	1
s81823	2	79	1
s2039	4	30408	3
s2137	2	357	1
s1	2	126241	1
s1413	4	74434	1
s4843	4	180218	1
s2564	4	135527	1
s3713	4	22	3
s104873	2	171	1
s82931	4	55	3
s81992	3	33	1
s114651	2	108	1
s114927	4	381	1
s3797	5	124	1
s138274	2	45	3
s131927	2	78	1
s134615	2	84	1
s554	2	92	1
s1603	3	5	1
s81889	2	261	1
s131924	2	310	1
s82227	4	321	1
s2360	4	57677	3
s81761	2	190	3
s848	4	188	1
s4269	2	18549	1
s82648	3	170	1
s3476	2	748	1
s134791	2	410	1
s114540	2	820	1
s81417	3	153	1
s1850	4	479129	1
s3664	4	46173	3
s137960	2	113	1
s120862	2	93	1
s2886	2	78	3
s82789	2	120	1
s4847	4	271	1
s122	4	3033	1
s3001	4	49404	1
s3774	4	121954	1
s1668	4	887	1
s125353	3	56124	1
s114723	3	61	1
s120937	2	1	1
s143344	2	96	1
s3899	4	91995	1
s82344	2	320	1
s82165	2	111	3
s81860	2	100	3
s128995	2	56	3
s1233	2	6	1
s121143	2	145	3
s3826	4	20331	1
s121039	4	555	1
s81760	3	36	3
s105493	4	22	3
s83173	4	87	3
s121087	2	237	1
s105204	4	160	3
s825	3	250	3
s82858	2	1899	1
s137949	2	2222	1
s96482	2	17	1
s105522	4	914	1
s143394	2	292	3
s3951	2	83	1
s114668	2	304	3
s3710	4	85	3
s83032	4	246	1
s3108	2	1032	1
s3822	4	907687	1
s1531	4	46	1
s140500	2	158	3
s138338	2	224	3
s120977	4	252	3
s134746	2	72	3
s5004	5	82737	3
s1423	2	63	1
s2829	2	18445	3
s5112	4	5898	3
s876	2	6	3
s324	5	11	1
s426	3	125	3
s5385	4	48	1
s114840	2	9	3
s2690	4	95449	3
s2767	4	44517	1
s83099	4	437	1
s125497	2	105	1
s314	2	51	1
s140505	2	121	3
s1912	2	79	1
s5206	2	1	3
s129097	2	58	3
s121003	2	101	1
s4989	4	134250	1
s1817	4	312600	1
s140418	2	5	1
s2509	2	80	3
s27	4	806	1
s1051	2	1	1
s3172	4	227	3
s4921	4	129011	1
s132049	2	59	3
s82508	4	269	1
s129143	2	147	1
s4460	4	39891	1
s143401	2	189	1
s104938	2	138	1
s121049	2	562	1
s105687	2	118	1
s129099	2	56	3
s104960	2	104	1
s995	4	72172	3
s105115	2	324	3
s2613	2	74	1
s83146	2	6334	1
s3297	4	45	1
s944	4	19	1
s2522	4	25265	3
s3320	4	18424	1
s120784	2	332	1
s1595	4	134220	1
s82245	4	113	1
s138317	2	76	3
s1845	4	7325	1
s138254	2	225	1
s114990	3	859	1
s143335	2	1211	1
s81555	2	40	3
s1141	4	437095	3
s114876	2	57	1
s125551	3	226	3
s3377	4	711760	3
s1396	2	3	3
s120961	2	243	1
s138247	2	120	1
s83129	4	303	1
s2902	4	66	3
s105353	4	251	1
s140219	2	8112	3
s104912	2	343	1
s104979	2	83	3
s82614	4	11	3
s129200	2	1	3
s138212	2	358	1
s3851	2	1530	1
s4671	4	104275	3
s4333	4	81794	1
s1331	4	154630	1
s82733	3	41	3
s114819	2	71	1
s125463	2	50	3
s132020	4	90	1
s82673	2	12	3
s143350	2	59	3
s105562	4	22	1
s134698	2	53	3
s114851	2	121	1
s125574	2	164	1
s3257	3	41	3
s83261	3	45	1
s82657	2	6	1
s121047	3	1911	1
s4719	2	13	1
s2560	2	319	1
s382	2	120	3
s2780	4	187	3
s105695	3	32	3
s129086	2	358	1
s5094	4	359	1
s105504	4	860	3
s816	4	28792	3
s2787	3	139	1
s120837	3	243	1
s20	4	2587	1
s4099	2	296	1
s82037	2	65	1
s5386	3	76	1
s81810	3	322	1
s4537	4	1884	3
s2480	4	10800	1
s4567	4	86	1
s140499	2	5	3
s870	3	60	3
s134684	2	65	1
s114519	2	328	3
s3425	5	88	3
s105249	2	77	1
s83195	2	11	1
s2091	4	227035	3
s140462	2	146	1
s125576	4	2576	1
s3577	2	56	3
s125625	2	97	1
s3286	2	31	1
s2604	2	71	1
s644	2	314	1
s736	4	2397	1
s4728	2	184	1
s82447	3	42	3
s82368	2	323	1
s427	4	63173	1
s139	3	44	1
s81941	4	189	1
s4340	2	836	1
s104890	2	79	1
s3075	4	5491	1
s1481	2	3	3
s81491	3	255	3
s81931	2	128	1
s3111	4	161	1
s81470	2	112	1
s105786	2	238	1
s1727	2	8	1
s1470	4	4676	3
s708	4	76811	1
s597	4	4956	1
s774	4	37	3
s1355	2	146	1
s5395	2	18056	1
s1467	2	196	1
s115000	4	920	3
s105160	4	457	3
s81404	2	192	3
s114979	2	286	1
s3697	4	6180	3
s1088	3	29155	3
s3530	4	240445	3
s115030	2	232	3
s125600	2	63	1
s105302	3	25	3
s1433	3	70	1
s3052	4	30021	3
s81390	2	322	1
s129169	3	2	1
s1512	4	109807	1
s5335	2	6053	1
s82716	3	58	3
s131890	2	50	1
s1473	4	152750	3
s132014	2	709	1
s3745	2	115	3
s114933	4	1244	1
s81405	2	1	3
s2730	2	1	3
s1722	4	43041	1
s105375	4	1039	1
s114835	2	11	3
s104959	2	65	1
s82251	3	90	1
s82208	3	85	3
s3911	4	240203	3
s2305	2	85	1
s3317	4	116681	1
s82704	2	4607	1
s4761	4	211400	1
s4786	4	47931	1
s129069	2	88	1
s3284	2	43	1
s82846	2	219	3
s4419	4	84011	1
s3568	2	93	3
s105674	2	82	1
s4550	3	110	1
s81696	3	116	3
s2845	2	98	3
s3873	4	15010	1
s105078	3	274	3
s120998	2	1	1
s754	4	11803	3
s373	4	28	3
s2066	3	191	1
s293	2	1	1
s120870	3	513	1
s82358	2	216	1
s3833	4	266132	3
s129175	4	401	3
s121131	2	2154	1
s121021	2	964	3
s82317	2	4	1
s140501	2	192	3
s82239	2	1	3
s807	4	29805	3
s349	4	25238	3
s595	4	1441	1
s82913	4	365	1
s3893	4	166271	1
s3648	4	27720	1
s3870	4	365064	1
s82309	2	248	3
s105491	3	981	3
s82882	2	296	3
s82620	4	88	1
s134771	4	153	1
s1178	4	1689	1
s3262	2	107441	3
s129079	2	144	1
s4972	4	62191	1
s4409	5	201016	1
s105044	2	612	3
s83052	4	31	3
s4335	2	169	1
s138219	2	292	1
s82473	2	113	1
s5239	5	14	3
s3030	4	24124	1
s3216	8	431	0
s114733	2	71	1
s129036	2	217	3
s1215	4	8960	1
s114521	2	50	3
s131916	2	51	3
s3056	2	488	3
s105099	2	105	1
s937	3	72	3
s1377	2	89	3
s3689	4	6125	3
s3807	2	58	3
s105645	2	715	1
s81501	2	253	1
s125404	2	320	1
s140215	2	1	1
s628	3	97	3
s844	4	47	1
s132045	2	171	1
s105427	2	81	1
s3265	4	2987	3
s5174	4	35	3
s83022	2	125	3
s105810	2	82	1
s2496	2	283	1
s120813	2	137	1
s5350	2	328	1
s2739	2	58	3
s83309	3	155	1
s692	4	6929	1
s83055	4	100	3
s1091	3	3170	1
s5096	2	5	1
s5084	4	239	3
s1622	4	173	3
s82622	4	39	1
s5366	4	186	3
s4799	4	69699	1
s1918	4	50983	1
s104962	2	8	1
s5182	3	25	3
s82924	3	32	1
s114534	2	71	1
s2639	2	70	1
s2825	2	4236	3
s105526	4	189	1
s4379	2	8	3
s115001	2	725	1
s104839	2	52	1
s4190	4	67479	3
s413	4	35005	3
s114564	2	58	1
s105516	4	2839	1
s137987	2	623	1
s2358	4	698	1
s125523	2	12	3
s114753	2	212	1
s134647	2	519	3
s139626	2	72	3
s83016	2	7	3
s121119	3	16	3
s1363	2	102	3
s2947	4	107	1
s81381	2	134	3
s82933	3	327	3
s407	4	35519	3
s114508	2	88	1
s104826	2	110	1
s81444	4	65	1
s114583	3	123	1
s105608	3	3	1
s134729	2	367	1
s649	4	13659	3
s82944	3	260	1
s82394	2	61	3
s114937	4	425	1
s4384	3	12	3
s3310	2	89	1
s642	4	3454	1
s1720	4	40362	1
s120901	2	181	1
s5357	4	293	1
s1219	2	31	1
s114670	2	334	3
s1320	2	50	1
s5279	4	188	3
s801	4	185	1
s1534	4	62	3
s4111	4	55249	1
s82138	2	32	3
s131972	2	5	1
s81905	3	307	1
s304	4	18780	3
s83314	3	68	1
s82937	4	8	3
s114561	2	65	1
s3863	2	699	1
s82699	4	22	1
s138217	2	222	1
s2205	4	48782	3
s4971	4	73718	1
s132011	2	2045	1
s1580	2	76	3
s1784	4	90	1
s120751	3	174	3
s93	4	118	3
s81575	3	16	3
s269	2	9	1
s82149	3	128	3
s120800	2	7	3
s120780	2	82	3
s82590	2	2	1
s3714	2	85	3
s140533	2	70	3
s1652	4	43626	3
s250	4	176	1
s125418	2	136	1
s2777	4	35703	3
s2949	4	187	1
s83228	3	11	3
s4260	5	93970	1
s1682	4	517968	1
s610	2	104	1
s105283	3	96	3
s134624	2	262	1
s125614	2	4714	1
s82297	2	316	1
s3624	4	25117	1
s82804	3	367	1
s105686	2	10	1
s115008	2	76	1
s366	3	131	3
s81763	2	1	3
s140443	2	2352	1
s134701	2	114	1
s1382	4	69570	1
s1957	2	317	1
s140508	2	69	1
s4242	4	1006	1
s1203	4	6172	3
s3517	4	63173	3
s129021	2	105	1
s1082	4	61382	1
s4787	4	255703	1
s114852	3	509	1
s81821	2	2	1
s138331	2	224	1
s140461	2	57	3
s4662	4	101112	3
s115016	2	76	3
s125408	2	5	1
s2562	4	681259	1
s3928	4	50302	1
s463	2	122	1
s838	2	144	3
s3512	2	56	3
s82640	2	91	1
s83256	2	50	1
s3667	4	114100	3
s114881	3	5482	1
s4575	4	833	1
s105477	4	110	3
s125580	4	6086	1
s4803	3	99	1
s82989	3	1482	3
s125444	2	95	3
s5133	4	19821	3
s1963	4	78231	3
s81845	4	21	3
s125519	2	93	3
s82134	2	177	3
s134739	2	870	1
s1657	2	285	1
s492	2	81	3
s82811	2	79	1
s3503	4	37	3
s82038	4	68	1
s120890	2	480	3
s3306	4	7755	1
s82814	3	141	3
s3	2	1	1
s81788	2	108	1
s81877	2	128	3
s83153	2	204	3
s4494	2	11	1
s81869	2	1	1
s560	2	49510	1
s81769	3	35	1
s131965	2	87	1
s81543	2	101	1
s140480	2	74	3
s120906	2	237	3
s2516	4	102	3
s114587	2	77	1
s5328	4	24424	3
s3972	4	45208	1
s3255	4	49	3
s3089	4	1186	3
s81452	3	242	1
s105452	4	1184	1
s2460	4	160641	1
s3180	2	7	1
s80	4	10326	3
s4093	2	2763	3
s2696	3	29385	3
s5432	2	93	1
s82557	2	123	1
s82296	2	401	3
s105248	2	2491	1
s81657	4	383	3
s83038	2	1	1
s134727	2	2	1
s3750	4	2025	3
s4375	2	8573	1
s2016	4	324051	3
s1659	2	1543	1
s129134	2	65	3
s533	2	301	1
s2354	2	310	1
s104933	2	131	1
s5054	4	3666	3
s4221	3	113	1
s125432	2	536	3
s125439	3	323	1
s902	3	52	1
s121154	2	315	3
s3578	4	3366	3
s1339	4	49032	3
s857	4	20895	3
s114559	2	384	3
s125480	2	55	1
s1150	4	73448	3
s138330	2	347	1
s134687	2	288	1
s115082	3	726	1
s344	4	63	1
s105476	3	1041	3
s3541	4	50532	3
s81919	3	152	1
s82499	2	6	1
s3081	4	15724	1
s3810	4	9	3
s105152	3	1592	1
s105551	2	13	3
s114808	2	133	3
s82030	2	78	1
s104800	2	50	1
s82509	2	15	3
s120778	2	62	1
s138243	2	217	3
s81969	2	87	3
s134787	2	107	3
s83017	4	297	3
s5272	4	76735	1
s83188	3	141	3
s134656	2	12	1
s82553	2	90	3
s104995	2	316	3
s140492	2	1	1
s5148	2	18	1
s2380	4	4181	1
s131975	2	54	1
s695	2	97	1
s189	3	118	1
s81473	2	16	1
s83127	4	1788	1
s4718	4	36049	1
s125490	2	316	1
s82647	2	51	1
s3877	4	4220	1
s115029	3	161	1
s104806	2	8	1
s104838	2	338	3
s105543	3	1163	1
s131984	2	77	1
s105280	4	170	3
s105798	2	192	1
s3709	2	89	3
s82711	3	579	3
s4946	4	21	1
s134683	2	108	1
s4294	2	72	1
s4351	2	336	1
s82905	3	45	1
s1759	4	201492	1
s2009	4	59377	3
s104852	2	327	3
s138281	3	2898	1
s3500	4	479862	1
s3936	4	60703	1
s134814	2	1121	1
s131957	2	107	1
s82145	2	50	1
s143376	2	7	1
s83193	3	86	3
s114742	3	1	1
s4808	3	42	1
s82991	3	1336	3
s2538	4	5187	1
s3010	2	2	3
s140460	2	307	3
s2913	4	37250	1
s227	4	7793	3
s81737	2	139	1
s129105	2	57	3
s105219	4	257	1
s4094	4	10786	3
s1314	4	143401	1
s1209	3	93	1
s574	4	1144	1
s104813	2	93	1
s1393	4	100	3
s2238	4	188661	3
s3675	4	52459	3
s1725	2	94	1
s132027	2	377	1
s1511	2	125	1
s361	2	95	1
s202	3	13	1
s82853	2	434	3
s446	5	613	3
s1190	2	110	1
s958	3	14	1
s2043	5	60928	3
s1721	4	12337	1
s3427	3	106	3
s81734	2	66	3
s2625	4	4715	3
s129142	2	9	1
s120867	3	61	1
s105051	2	297	1
s105318	2	104	3
s140463	2	72	3
s134644	2	180	3
s3064	2	171	3
s3460	4	357	3
s81641	2	90	1
s105806	3	44	1
s384	3	147	3
s83048	2	1	1
s2312	4	31742	1
s105407	3	2852	1
s1983	4	394462	3
s105706	2	74	3
s5270	4	3431	1
s4512	2	11	3
s82451	2	65	1
s82688	3	85	1
s2182	4	35568	1
s131981	2	75	1
s81542	2	1002	3
s120931	2	237	1
s3043	2	171	1
s82638	3	52	1
s421	3	53	1
s4602	4	208	3
s3035	4	676	1
s3751	4	15980	1
s1846	2	67	1
s105802	4	207	1
s105417	4	6839	3
s132005	3	103	3
s105231	2	180	3
s3612	4	41656	1
s83248	4	90	1
s4430	4	13541	3
s105274	2	114	1
s125525	3	549	1
s105306	4	17	3
s104840	3	61	1
s1057	2	64	1
s2819	2	331	3
s83308	3	98	3
s1630	4	53640	3
s114590	2	298	3
s3683	2	1	3
s119	2	78	1
s4838	4	42271	1
s81462	3	88	3
s121020	2	81	3
s81708	3	527	3
s4548	3	47	1
s81904	4	186	1
s82860	2	1248	1
s121098	2	105	1
s83343	2	47	3
s1055	4	57858	1
s683	4	242	3
s83093	2	5	1
s129012	2	427	1
s105581	2	123	3
s138328	2	154	1
s3240	2	1	1
s82113	2	249	3
s3062	2	685	3
s2075	4	139915	1
s2597	4	26331	1
s1748	4	176268	3
s2028	2	131	3
s2494	2	1087	1
s1156	4	4212	3
s4467	2	639	3
s4478	4	30535	1
s121179	2	471	1
s138293	2	1728	3
s5049	2	54	3
s247	4	53	3
s717	4	1966	1
s105342	3	588	1
s81975	3	493	3
s105368	4	2779	3
s1614	2	136	3
s121112	2	63	3
s4527	5	6	3
s114770	2	3	1
s1754	2	54	3
s134695	2	150	1
s81585	2	200	1
s4367	2	64	3
s4542	2	313	1
s81400	2	4	3
s82432	4	125	1
s105201	2	1	3
s114911	3	2166	3
s137976	2	10	1
s120741	3	2362	1
s91	4	3053	3
s134781	2	68	1
s105214	3	51	1
s2865	2	1190	1
s4023	4	216462	3
s129243	2	4793	1
s83164	3	43	3
s82703	3	30	1
s129113	2	88	3
s3608	4	29422	3
s396	2	87	3
s1542	2	94	3
s82596	2	62	1
s140450	2	55	0
s153	3	184	3
s114736	2	64	1
s114612	2	321	3
s1292	2	1	3
s1270	4	18345	1
s3179	4	170	3
s131961	2	112	1
s105181	3	147	1
s242	4	163	1
s2139	4	29404	1
s2943	4	78304	3
s4434	2	72	3
s3571	2	437	3
s3036	2	683	1
s131925	2	2	1
s83271	2	230	3
s114629	2	56	3
s129222	2	207	1
s82831	2	108	1
s104868	2	1587	1
s129220	2	10	1
s105325	2	68	3
s3949	2	1	1
s105068	2	12	3
s3891	4	58094	1
s104895	2	51	1
s83147	2	1562	1
s1944	4	453	1
s129020	2	125	1
s125552	2	6	3
s2431	4	494292	1
s1848	4	171	1
s138215	2	134	1
s140494	2	67	1
s834	4	7712	3
s604	4	459	1
s129242	2	1550	3
s3804	3	7	3
s82731	2	3	3
s4500	2	173	1
s443	2	255	3
s83161	2	98	3
s3066	2	167	1
s134811	2	64	3
s3569	3	11984	3
s4741	2	332	3
s120974	2	79	3
s105239	2	1	1
s125530	2	57	3
s49	3	41	3
s81826	2	82	1
s81534	3	103	3
s599	4	523	1
s3464	2	57	1
