node	length	degree	branching	terminal
s17	118	2	False	False
s105023	110	2	False	False
s3350	450963	4	True	False
s82826	50	2	False	False
s105039	197	2	False	False
s59	33464	4	True	False
s2227	100	2	False	False
s105069	24	3	True	False
s1141	437095	4	True	False
s83031	107	2	False	False
s134654	35971	3	True	False
s381	232	3	True	False
s1579	92255	4	True	False
s326	174595	4	True	False
s1103	5450	4	True	False
s3474	121	4	True	False
s5360	65	2	False	False
s3273	221	4	True	False
s3408	227845	4	True	False
s881	42	4	True	False
s114841	1	2	False	False
s2867	2573	2	False	False
s120877	107	2	False	False
s82762	2	2	False	False
s134814	1121	2	False	False
s83138	88	2	False	False
s3530	240445	4	True	False
s2414	47311	4	True	False
s5251	10	4	True	False
s4822	81383	4	True	False
s4583	150310	4	True	False
s105607	468	5	True	False
s3430	326170	4	True	False
s82132	106	2	False	False
s81781	5	4	True	False
s105227	89	2	False	False
s533	301	2	False	False
s5119	135	4	True	False
s1457	27414	4	True	False
s82072	179	2	False	False
s4228	175062	4	True	False
s125477	441	2	False	False
s717	1966	4	True	False
s134638	65	2	False	False
s114655	50	2	False	False
s899	11	4	True	False
s3770	450975	4	True	False
s82243	125	2	False	False
s448	119	4	True	False
s644	314	2	False	False
s73	8464	4	True	False
s114633	102	2	False	False
s129096	68	2	False	False
s1962	5737	4	True	False
s1157	769	4	True	False
s655	3331	4	True	False
s2224	229233	4	True	False
s83145	66694	2	False	False
s138275	24	3	True	False
s2171	310	2	False	False
s105010	250	2	False	False
s104793	7323	2	False	False
s4144	263022	4	True	False
s105788	56	2	False	False
s125391	197	2	False	False
s3965	216915	4	True	False
s5174	35	4	True	False
s129200	1	2	False	False
s114854	80	2	False	False
s4157	141	4	True	False
s5105	81	2	False	False
s82634	525	3	True	False
s3164	100	2	False	False
s5315	588	4	True	False
s82272	1687	2	False	False
s4478	30535	4	True	False
s134725	3035	2	False	False
s5272	76735	4	True	False
s542	255	4	True	False
s120751	174	3	True	False
s923	3	3	True	False
s301	319	2	False	False
s82293	96	2	False	False
s104909	109	2	False	False
s5204	53	2	False	False
s114917	4200	2	False	False
s125445	299	2	False	False
s1012	30993	4	True	False
s82329	12	2	False	False
s104946	7	2	False	False
s928	13519	4	True	False
s82230	40	3	True	False
s1712	431	2	False	False
s105421	339	2	False	False
s81588	171	3	True	False
s81796	65	2	False	False
s129147	60	3	True	False
s3715	119	4	True	False
s129220	10	2	False	False
s125454	354	2	False	False
s138303	349	2	False	False
s5382	19568	4	True	False
s5225	6493	4	True	False
s121199	82	2	False	False
s3108	1032	2	False	False
s105382	775	4	True	False
s5316	230	2	False	False
s82463	4358	2	False	False
s143371	117	2	False	False
s131980	204	2	False	False
s390	70	2	False	False
s968	27	3	True	False
s81697	3	3	True	False
s114643	59	2	False	False
s82916	144	2	False	False
s195	11178	4	True	False
s5303	23104	4	True	False
s143341	35	2	False	False
s137978	70	2	False	False
s82865	212	2	False	False
s105017	78	2	False	False
s5121	56	2	False	False
s105132	188	4	True	False
s105651	1155	2	False	False
s115016	76	2	False	False
s140487	9	2	False	False
s5237	2	3	True	False
s82589	56	4	True	False
s1489	120670	4	True	False
s1631	269	2	False	False
s387	5277	4	True	False
s104859	28	2	False	False
s114829	269	3	True	False
s4560	1	2	False	False
s4871	295	2	False	False
